"PR"	"URL"	"HTTP status code"	"Content type"	"Is indexable page"	"Title"	"Title length"	"Meta description"	"Meta description length"	"H1"	"H1 length"	"Meta robots"	"Robots information in HTTP headers"	"Canonical URL"	"Canonical URL code"	"Size (bytes)"	"No. of content words"	"Depth"	"No. of href inlinks"	"No. of inlinks dofollow"	"No. of internal outlinks"	"No. of external outlinks"	"Loading time (ms)"	"Organic traffic"	"No. of backlinks"	"No. of dofollow backlinks"	"No. of nofollow backlinks"	"No. of referring domains"	"No. of referring pages"
"20"	"https://cindemirlaw.com/online-appointment-booking/"	"200"	"text/html; charset=utf-8"	"true"	"Appointment Booking Service - Cindemir Law Office"	"49"	"Online Appointment Booking – Schedule a consultation with Cindemir Law Office for expert legal advice"	"101"	"CINDEMIR LAW OFFICE"	"19"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/online-appointment-booking/"	"200"	"152934"	"137"	"0"	"16"	"16"	"14"	"4"	"394"	"0"	"1"	"1"	"0"	"1"	"1"
"20"	"https://cindemirlaw.com/ottoman-archival-documents-and-their-role-in-legal-and-historical-investigations/"	"200"	"text/html; charset=utf-8"	"true"	"Ottoman Archival Documents in Legal Research in Turkey | Turkish Law"	"68"	"Explains Ottoman Archival Documents in Legal Research in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"145"	"Ottoman Archival Documents and Their Role in Legal and Historical Investigations"	"80"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/ottoman-archival-documents-and-their-role-in-legal-and-historical-investigations/"	"200"	"160127"	"591"	"0"	"3"	"3"	"24"	"4"	"755"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/the-scope-of-turkish-labor-law/"	"200"	"text/html; charset=utf-8"	"true"	"Turkish Employment Law"	"22"	"Turkish Labor is defined in this article. Worker's right and other issues are mentioned"	"87"	"Turkish Employment Law"	"22"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/the-scope-of-turkish-labor-law/"	"200"	"162439"	"1074"	"0"	"4"	"4"	"24"	"4"	"742"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/liaison-offices-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Liaison Offices in Turkey | Cindemir Law Office"	"47"	"Explains Liaison Offices in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"116"	"Liaison Offices in Turkey"	"25"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/liaison-offices-in-turkey/"	"200"	"159570"	"793"	"0"	"3"	"3"	"24"	"4"	"777"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/nominee-director-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Услуги номинального директора в Турции | Cindemir"	"49"	"Обзор темы «Услуги номинального директора в Турции» в Турции: процедуры, документы, риски и практические вопросы для иностранных клиентов."	"138"	"Nominee Director in Turkey"	"26"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/nominee-director-in-turkey/"	"200"	"161160"	"564"	"0"	"15"	"15"	"24"	"4"	"789"	"0"	"4"	"1"	"3"	"3"	"4"
"20"	"https://cindemirlaw.com/irish-kuwaiti-tourist-acquitted-in-street-brawl-case-in-turkey-hurriyet-daily-news/"	"200"	"text/html; charset=utf-8"	"true"	"Irish-Kuwaiti tourist acquitted in street brawl case in Turkey"	"62"	"Legal news and media note on Irish-Kuwaiti tourist acquitted in street brawl case in Turkey, with context from Cindemir Law Office in Turkey."	"141"	"Irish-Kuwaiti tourist acquitted in street brawl case in Turkey – Hurriyet Daily News"	"84"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/irish-kuwaiti-tourist-acquitted-in-street-brawl-case-in-turkey-hurriyet-daily-news/"	"200"	"162967"	"503"	"0"	"19"	"19"	"26"	"4"	"762"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/enforcement-of-promissory-notes-bills-of-exchange-and-cheques-in-turkey/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Взыскание по векселям и чекам в Турции: простые векселя, переводные векселя и чеки - Cindemir Law Office"	"104"	"Узнайте, как в Турции осуществляется взыскание по простым векселям, переводным векселям и чекам в рамках специальной исполнительной процедуры."	"142"	"Взыскание по векселям и чекам в Турции: простые векселя, переводные векселя и чеки"	"82"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/enforcement-of-promissory-notes-bills-of-exchange-and-cheques-in-turkey/?lang=ru"	"200"	"179065"	"1691"	"1"	"0"	"0"	"15"	"2"	"843"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/airport-detention-in-turkey-legal-risks-for-foreign-travellers-and-how-to-respond/"	"200"	"text/html; charset=utf-8"	"true"	"Airport Detention in Turkey | Cindemir Law Office"	"49"	"Explains Airport Detention in Turkey, including documents, authority practice and procedural options for foreign nationals."	"123"	"Airport Detention in Turkey: Legal Risks for Foreign Travellers and How to Respond"	"82"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/airport-detention-in-turkey-legal-risks-for-foreign-travellers-and-how-to-respond/"	"200"	"172267"	"2022"	"0"	"4"	"4"	"34"	"4"	"796"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/termination-of-employment-under-turkish-law/"	"200"	"text/html; charset=utf-8"	"true"	"Termination of Employment under Turkish Law | Cindemir Law Office"	"65"	"Explains Termination of Employment under Turkish Law, including procedures, documents, risks and key legal points for foreign clients."	"134"	"Termination of Employment under Turkish Law"	"43"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/termination-of-employment-under-turkish-law/"	"200"	"163085"	"1301"	"0"	"7"	"7"	"24"	"4"	"767"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/enforcement-of-foreign-judgments-austria-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Enforcement of Foreign Judgments (Austria) in Turkey"	"52"	"This article aims at explaining enforcement of foreign judgments obtained from Courts of Austria in Turkey."	"107"	"Enforcement of Foreign Judgments (Austria) in Turkey"	"52"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/enforcement-of-foreign-judgments-austria-in-turkey/"	"200"	"159392"	"663"	"0"	"3"	"3"	"24"	"4"	"741"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/cindemir-hukuk-burosu-cindemir-law-office-kusdili-caddesi-osmanaga-mahallesi-artunc-apartmani-no173-34714-kadikoy-istanbul-2/"	"200"	"text/html; charset=utf-8"	"true"	"Cindemir Law Office in Istanbul | Cindemir"	"42"	"Обзор темы «Cindemir Law Office in Istanbul» в Турции: процедуры, документы, риски и практические вопросы для иностранных клиентов."	"131"	"Cindemir Hukuk Bürosu / Cindemir Law Office Al Mazaya İstanbul Ritim Residences Cevizli Mahallesi, Zuhal Caddesi no: 44 , b blok daire 18, 34846 Maltepe, Istanbul, Turkey"	"170"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/cindemir-hukuk-burosu-cindemir-law-office-kusdili-caddesi-osmanaga-mahallesi-artunc-apartmani-no173-34714-kadikoy-istanbul-2/"	"200"	"156814"	"267"	"0"	"3"	"3"	"16"	"4"	"787"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/re-employment-lawsuit/"	"200"	"text/html; charset=utf-8"	"true"	"Re-employment Lawsuit in Turkey | Legal Overview"	"48"	"Explains Re-employment Lawsuit in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"122"	"Re-employment Lawsuit"	"21"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/re-employment-lawsuit/"	"200"	"163639"	"759"	"0"	"7"	"7"	"30"	"4"	"765"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/turkey-asset-repatriation-2026-legal-framework-for-bringing-foreign-assets-to-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Turkey Asset Repatriation 2026: Legal Framework for Bringing Foreign Assets to Turkey - Cindemir Law Office"	"107"	"Turkey asset repatriation 2026 allows foreign assets to be declared and brought to Turkey under Law No. 7582 with tax advantages."	"129"	"Turkey Asset Repatriation 2026: Legal Framework for Bringing Foreign Assets to Turkey"	"85"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/turkey-asset-repatriation-2026-legal-framework-for-bringing-foreign-assets-to-turkey/"	"200"	"167275"	"1432"	"0"	"5"	"5"	"38"	"4"	"828"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/%D0%BF%D1%80%D0%B0%D0%B2%D0%B0-%D0%B8-%D0%BE%D0%B1%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Права и обязанности - Турецкая юридическая фирма"	"48"	"К сожалению, я не нашёл конкретной информации о правах и обязанностях на указанной странице. Однако, Cindemir Law Office предоставляет широкий спектр юридических услуг в Турции, включая корпоративное и коммерческое право, энергетическое законодательство, недвижимость и передачу прав на имущество, а также услуги по взысканию долгов и дью-дилидженс."	"349"	"Права и обязанности"	"19"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D0%BF%D1%80%D0%B0%D0%B2%D0%B0-%D0%B8-%D0%BE%D0%B1%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8/?lang=ru"	"200"	"163504"	"583"	"1"	"0"	"0"	"14"	"2"	"802"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/cisg-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D0%BA%D1%83%D0%BF%D0%BB%D1%8F-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6/"	"200"	"text/html; charset=utf-8"	"true"	"CISG в Турции | Международная купля-продажа товаров"	"51"	"CISG в Турции: узнайте, когда Конвенция применяется к международным договорам купли-продажи товаров и трансграничным коммерческим спорам."	"137"	"CISG в Турции: Международная купля-продажа товаров и разрешение коммерческих споров
Что такое CISG?
Применяется ли CISG в Турции?
Когда применяется CISG?
Когда CISG не применяется?
Наиболее распространённые споры по CISG
Почему важно определить применимое право на ранней стадии?
Можно ли исключить применение CISG?
CISG и турецкие суды
Международный арбитраж и CISG
Часто задаваемые вопросы
Заключение"	"83
15
29
23
26
39
58
35
20
29
24
10"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/cisg-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D0%BA%D1%83%D0%BF%D0%BB%D1%8F-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6/"	"200"	"170312"	"1056"	"0"	"2"	"2"	"15"	"4"	"872"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/link20/"	"200"	"text/html; charset=utf-8"	"true"	"土耳其能源法律和投资 | Cindemir"	"21"	"本文概述土耳其能源法律和投资相关法律问题，包括程序、文件、风险和外国客户常见注意事项。"	"43"	"能源法律和投资"	"7"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/link20/"	"200"	"156776"	"182"	"0"	"3"	"3"	"14"	"4"	"759"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbdfde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Недвижимость, Трасты - Cindemir Law Office"	"42"	"Мы имеем большой опыт в создании корпоративной структуры трастов и частных трастов, разрешении споров, связанных с трастами и завещаниями."	"138"	"Недвижимость, Трасты"	"20"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbdfde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"159119"	"268"	"1"	"0"	"0"	"13"	"2"	"858"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/independent-certified-public-accountant-financial-consultant-taner-cevik-2/"	"200"	"text/html; charset=utf-8"	"true"	"土耳其独立的注册会计师及财务顾问，Taner Cevik | Cindemir"	"39"	"本文概述土耳其独立的注册会计师及财务顾问，Taner Cevik相关法律问题，包括程序、文件、风险和外国客户常见注意事项。"	"61"	"独立的注册会计师及财务顾问，Taner Cevik"	"25"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/independent-certified-public-accountant-financial-consultant-taner-cevik-2/"	"200"	"156890"	"180"	"0"	"3"	"3"	"14"	"4"	"780"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/litigation-adr/"	"200"	"text/html; charset=utf-8"	"true"	"Litigation & ADR in Turkey | Cindemir Law Office"	"48"	"Explains Litigation & ADR in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"117"	"Litigation & ADR"	"16"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/litigation-adr/"	"200"	"156120"	"262"	"0"	"3"	"3"	"16"	"4"	"774"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/accidents-on-the-road-in-turkey-car-crashes-traffic-accidents/"	"200"	"text/html; charset=utf-8"	"true"	"Road and Car Accidents in Turkey | Cindemir Law Office"	"54"	"Explains Road and Car Accidents in Turkey, including liability, evidence and compensation issues under Turkish law."	"115"	"Accidents on the Road in Turkey, Car Crashes, Traffic Accidents"	"63"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/accidents-on-the-road-in-turkey-car-crashes-traffic-accidents/"	"200"	"168149"	"1374"	"0"	"8"	"8"	"38"	"4"	"794"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/link13/?lang=zh-hans"	"200"	"text/html; charset=utf-8"	"true"	"职务调查 - Cindemir Law Office"	"26"	"Cindemir律师事务所位于伊斯坦布尔，专注于土耳其业务、国内私法和欧洲法。自2004年以来，我们为国际组织、企业和个人提供高质量的法律服务，涵盖欧洲法、合同法、公司法、商法和房地产法等领域。我们在投资合同和税务方面拥有丰富的专业知识。我们的多语言团队能够以英语、土耳其语、阿拉伯语、法语、德语和荷兰语提供法律服务，确保满足客户的多样化需求。我们致力于为客户的法律问题提供创新且可行的解决方案。如需了解更多信息或获取法律支持，请访问我们的网站或直接联系我们。"	"230"	"职务调查"	"4"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/link13/?lang=zh-hans"	"200"	"156936"	"105"	"1"	"0"	"0"	"12"	"2"	"772"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/%D0%BD%D0%B0%D1%81%D0%BB%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Наследственное Право Турции - адвокатское бюро Синдемир"	"55"	"Цель этой статьи — разъяснить детали турецкого законодательства о наследовании и предоставить информацию о правовой системе наследования."	"137"	"Наследственное Право Турции"	"27"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D0%BD%D0%B0%D1%81%D0%BB%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"162345"	"532"	"1"	"0"	"0"	"14"	"2"	"778"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/enforcement-of-a-foreign-decision-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Enforcement of a Foreign Decision in Turkey | Cindemir Law Office"	"65"	"Explains Enforcement of a Foreign Decision in Turkey, including enforcement steps, documents and practical risks for creditors."	"127"	"Enforcement of a Foreign Decision in Turkey"	"43"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/enforcement-of-a-foreign-decision-in-turkey/"	"200"	"161755"	"1113"	"0"	"3"	"3"	"26"	"4"	"758"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/how-to-apply-to-the-european-court-of-human-rights-echr-legal-conditions-and-procedure/"	"200"	"text/html; charset=utf-8"	"true"	"How to Apply to the European Court of Human Rights (ECHR) in Turkey"	"67"	"Explains How to Apply to the European Court of Human Rights (ECHR) in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"158"	"How to Apply to the European Court of Human Rights (ECHR) – Legal Conditions and Procedure"	"90"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/how-to-apply-to-the-european-court-of-human-rights-echr-legal-conditions-and-procedure/"	"200"	"161270"	"935"	"0"	"11"	"11"	"26"	"4"	"818"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/turkish-citizenship-law-in-english/"	"200"	"text/html; charset=utf-8"	"true"	"Turkish Citizenship Law in English | Cindemir Law Office"	"56"	"Explains Turkish Citizenship Law in English, including documents, authority practice and procedural options for foreign nationals."	"130"	"Turkish Citizenship Law in English"	"34"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/turkish-citizenship-law-in-english/"	"200"	"174846"	"3969"	"0"	"3"	"3"	"27"	"4"	"774"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/payment/"	"200"	"text/html; charset=utf-8"	"true"	"Payment / Ödeme / Адвокатский гонорар | Cindemir"	"48"	"Обзор темы «Payment / Ödeme / Адвокатский гонорар» в Турции: процедуры, документы, риски и практические вопросы для иностранных клиентов."	"137"	"Payment / Ödeme / Адвокатский гонорар"	"37"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/payment/"	"200"	"156874"	"227"	"0"	"3"	"3"	"15"	"5"	"757"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/nominee-directory-services-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Nominee Director Services in Turkey | Cindemir Law Office"	"57"	"Explains Nominee Director Services in Turkey, including company procedures, governance, compliance and key points for foreign investors."	"136"	"Nominee Directory Services in Turkey"	"36"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/nominee-directory-services-in-turkey/"	"200"	"160761"	"649"	"0"	"15"	"15"	"24"	"4"	"788"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/cindemir-law-2/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Cindemir Law Office - турецкая юридическая - Cindemir Law Office"	"64"	"Независимая турецкая юридическая фирма, основанная в Стамбуле в 2004 году, предоставляет высококачественные юридические услуги международным организациям, предприятиям и физическим лицам. Мы специализируемся на Европейском праве, договорном праве, корпоративном праве, коммерческом праве и праве о недвижимости, а также на инвестиционных контрактах и налогообложении."	"367"	"Cindemir Law Office – турецкая юридическая"	"42"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/cindemir-law-2/?lang=ru"	"200"	"161723"	"428"	"1"	"0"	"0"	"17"	"2"	"773"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/deportation-law-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Deportation Law In Turkey | Cindemir Law Office"	"47"	"Explains Deportation Law In Turkey, including documents, authority practice and procedural options for foreign nationals."	"121"	"Deportation Law In Turkey"	"25"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/deportation-law-in-turkey/"	"200"	"164709"	"1699"	"0"	"3"	"3"	"30"	"4"	"784"	"0"	"1"	"1"	"0"	"1"	"1"
"20"	"https://cindemirlaw.com/resolution-in-the-course-of-litigation-proceedings-regarding-turkish-law/"	"200"	"text/html; charset=utf-8"	"true"	"Resolution In the Course of Litigation Proceedings Regarding Turkish Law"	"72"	"This article aims to explain Turkish Law in the field of resolution and litigation in Turkish Law."	"98"	"Resolution In the Course of Litigation Proceedings Regarding Turkish Law"	"72"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/resolution-in-the-course-of-litigation-proceedings-regarding-turkish-law/"	"200"	"159083"	"642"	"0"	"3"	"3"	"22"	"4"	"779"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/paternity-suit-in-turkey-under-turkish-family-law/"	"200"	"text/html; charset=utf-8"	"true"	"Paternity Suit In Turkey | Cindemir Law Office"	"46"	"Legal news and media note on Paternity Suit In Turkey, with context from Cindemir Law Office in Turkey."	"103"	"Paternity Suit In Turkey"	"24"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/paternity-suit-in-turkey-under-turkish-family-law/"	"200"	"164765"	"832"	"0"	"15"	"15"	"30"	"4"	"816"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/personal-injury-liability-in-turkey/"	"200"	"text/html; charset=utf-8"	"true"	"Personal Injury Liability in Turkey"	"35"	"This article is written by a Turkish Lawyer who aims to reflect general Turkish Court Practice regarding personal injury liability in Turkey."	"141"	"Personal Injury Liability in Turkey"	"35"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/personal-injury-liability-in-turkey/"	"200"	"166796"	"889"	"0"	"16"	"16"	"32"	"4"	"761"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/%D0%BF%D0%BE%D1%81%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B8%D0%BD%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85-%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D1%91%D0%BD%D0%BD%D1%8B%D1%85-%D0%B2/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"Посещение иностранных заключённых в тюрьмах Турции: Правила и юридическая поддержка - Cindemir Law Office"	"105"	"Помогаем организовать визит к иностранному заключённому в Турции: разрешения, документы, консультации, адвокатская поддержка."	"125"	"Посещение иностранных заключённых в тюрьмах Турции: Правила и юридическая поддержка"	"83"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D0%BF%D0%BE%D1%81%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B8%D0%BD%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85-%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D1%91%D0%BD%D0%BD%D1%8B%D1%85-%D0%B2/?lang=ru"	"200"	"164480"	"642"	"1"	"0"	"0"	"14"	"2"	"808"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/administrative-law/"	"200"	"text/html; charset=utf-8"	"true"	"Administrative Law in Turkey | Cindemir Law Office"	"50"	"Explains Administrative Law in Turkey, including procedures, documents, risks and key legal points for foreign clients."	"119"	"Administrative Law"	"18"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/administrative-law/"	"200"	"155566"	"218"	"0"	"3"	"3"	"14"	"4"	"770"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/criminal-record-deletion-in-turkey-for-foreign-nationals/"	"200"	"text/html; charset=utf-8"	"true"	"Criminal Record Deletion in Turkey for Foreign Nationals | Turkish Law"	"70"	"Explains Criminal Record Deletion in Turkey for Foreign Nationals, including procedure, risk assessment and rights of foreign nationals under Turkish law."	"154"	"Criminal Record Deletion in Turkey for Foreign Nationals"	"56"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/criminal-record-deletion-in-turkey-for-foreign-nationals/"	"200"	"161836"	"795"	"0"	"3"	"3"	"30"	"4"	"758"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8-%D1%81-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9-%D0%BE%D1%82%D0%B2/?lang=ru"	"200"	"text/html; charset=utf-8"	"true"	"создание компании с ограниченной ответственностью в Турции"	"58"	"Эта статья о создании компании с ограниченной ответственностью в Турции."	"72"	"создание компании с ограниченной ответственностью в Турции"	"58"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8-%D1%81-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9-%D0%BE%D1%82%D0%B2/?lang=ru"	"200"	"161266"	"470"	"1"	"0"	"0"	"13"	"2"	"779"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://cindemirlaw.com/legal-services-in-sapanca/"	"200"	"text/html; charset=utf-8"	"true"	"Legal Services in Sapanca | Cindemir"	"36"	"Обзор темы «Legal Services in Sapanca» в Турции: процедуры, документы, риски и практические вопросы для иностранных клиентов."	"125"	"Legal Services in Sapanca"	"25"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/legal-services-in-sapanca/"	"200"	"156685"	"265"	"0"	"1"	"1"	"21"	"4"	"792"	"0"	"0"	"0"	"0"	"0"	"0"
